n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std
102.0,508.0,138.00980392156862,369.9901960784314,0.2716728423652925,19.45276032306736,1.0106661284392078,0.2193994484865372,131.0,1.328784704208374,35.0,71.6036249840206,35.0,0
809.0,671.0,401.69468479604444,269.3053152039555,0.5986507970134791,93.5857329094604,-1.1613414246970382,0.025622594959264045,1.0,1.1641137599945068,661.0,156.32775129731138,661.0,0
789.0,789.0,368.040557667934,420.9594423320658,0.4664645851304615,77.12293089868986,-0.11646356331190112,1.1100192548862071,2.0,1.1407461166381836,486.0,165.33501868554504,486.0,0
786.0,809.0,376.3982188295165,432.6017811704834,0.4652635585037288,79.83212637506699,-0.07701531686884032,1.1288894823818505,2.0,1.0664620399475098,486.0,171.58473926435232,486.0,0
183.0,305.0,79.30601092896175,225.69398907103826,0.260019707963809,11.533790097838835,2.8891149321304943,0.6687917194568699,14.0,1.2746548652648926,57.0,44.35736886314853,57.0,0
10.0,597.0,356.9,240.1,0.5978224455611391,77.07322818641957,-0.7649877564682903,0.20902521708902472,32.0,1.2828712463378906,8.0,128.92327606414258,8.0,0
188.0,166.0,101.39893617021276,64.60106382978725,0.6108369648807997,24.605957164443016,-1.1994773578854532,-0.03457786989540185,1.0,1.2007150650024414,153.0,40.282364328171724,153.0,0
786.0,721.0,207.52926208651402,513.470737913486,0.28783531496049103,35.417121399218956,3.6656341627459543,1.0866956408577724,0.0,1.3354721069335938,280.0,123.04647678162908,280.0,0
797.0,306.0,187.92973651191966,118.07026348808031,0.6141494657252278,42.39595537917436,-1.1586463450739488,-0.09684437723048823,1.0,1.4984049797058103,672.0,69.03198284005744,672.0,0
803.0,505.0,148.15442092154422,356.8455790784558,0.2933750909337509,25.113912298073174,3.879959488283125,1.150016428420808,0.0,1.7305710315704346,294.0,85.60342399261266,294.0,0
82.0,919.0,509.2317073170732,409.7682926829268,0.554115024284084,114.82678874203822,-1.0396760904109477,0.3831719392289267,7.0,1.3922910690307615,60.0,207.22554651968568,60.0,0
782.0,503.0,293.9539641943734,209.04603580562664,0.5844015192731081,66.27382437441435,-1.132580121932782,0.08020212250676019,1.0,1.1617770195007324,625.0,113.40460657399937,625.0,0
807.0,162.0,74.52540272614623,87.47459727385376,0.4600333501613965,15.827047477196915,-0.1365968708412777,1.0196542414150669,1.0,1.5832619667053225,489.0,34.40413063888566,489.0,0
29.0,423.0,108.75862068965515,314.2413793103448,0.25711257846254176,11.705715018476296,-0.7395034055253156,-0.7685011789718287,266.0,1.3335809707641602,9.0,45.52758596437815,9.0,0
22.0,297.0,83.63636363636364,213.3636363636364,0.28160391796755435,14.518975931176481,0.6681365611886569,0.4882154021750616,84.0,1.0850517749786377,8.0,51.558146051253864,8.0,0
790.0,177.0,80.93291139240506,96.06708860759493,0.4572480869627405,17.20191821803034,-0.14294117909301596,1.0399971386830658,1.0,1.0903549194335938,471.0,37.62053622201828,471.0,0
111.0,917.0,276.4144144144144,640.5855855855856,0.30143338540285103,53.60957676870146,3.603469218304022,1.4471493374233388,0.0,1.4279751777648926,42.0,177.84883614353097,42.0,0
800.0,562.0,260.76875,301.23125,0.464001334519573,54.82937477933272,-0.021765455246071763,1.1506393391518652,1.0,1.1098299026489258,478.0,118.1664161291757,478.0,0
10.0,914.0,234.2,679.8,0.2562363238512035,30.39634404792088,-0.5074653080398055,-1.1442149680096512,583.0,1.148402214050293,3.0,118.62621033219335,3.0,0
160.0,322.0,153.4,168.6,0.4763975155279504,34.63713440330913,-0.3190884261658757,1.0593449333315228,1.0,1.5532569885253906,100.0,72.70637078139205,100.0,0
91.0,932.0,265.8791208791209,666.1208791208793,0.2852780266943357,39.41177481044291,1.6325161537971409,0.4198336554223219,193.0,1.1864707469940186,34.0,138.15215727312605,34.0,0
