n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std,score,selected
790.0,128.0,76.8645569620253,51.13544303797468,0.6005043512658228,18.138771260614487,-1.2360702395225878,-0.012470530265196924,1.0,1.014552116394043,516.0,30.20589479889559,516.0,0
789.0,433.0,266.17870722433463,166.82129277566543,0.6147314254603571,62.75558425966466,-1.2407371946720909,-0.05449767625266416,1.0,1.0006771087646484,534.0,102.08618212851013,534.0,0
80.0,203.0,122.3875,80.6125,0.6028940886699508,28.83897580209091,-1.1483479523906617,-0.14573691090746355,3.0,1.4273791313171391,56.0,47.83423215462735,56.0,0
144.0,942.0,444.0555555555555,497.9444444444445,0.4713965557914602,97.24214142703592,-0.1753860646996661,1.097312613385894,8.0,0.906221866607666,75.0,206.2852183206332,75.0,0
113.0,969.0,289.929203539823,679.070796460177,0.299204544416742,45.059824010335554,2.4776277119684718,0.8614454027794765,97.0,0.9397130012512208,35.0,150.59872869970428,35.0,1
796.0,127.0,60.253768844221106,66.7462311557789,0.4744391247576465,13.542856493481775,-0.5340320892754358,0.8306599802612334,2.0,1.5344440937042236,413.0,28.54498245775946,413.0,0
783.0,293.0,136.5632183908046,156.4367816091954,0.4660860695931897,29.382047340993072,-0.07956739663080947,1.1364483913192978,1.0,1.4463660717010498,388.0,63.03996033745092,388.0,0
124.0,235.0,113.92741935483869,121.07258064516131,0.4847975291695264,25.656959875094884,-0.6794962245390344,0.8953266744010859,3.0,1.0862939357757568,68.0,52.92304174702803,68.0,0
191.0,330.0,96.23036649214659,233.7696335078534,0.291607171188323,16.080835664965782,3.4051630807761284,1.000026433661788,0.0,1.101269006729126,57.0,55.14554254422161,57.0,0
807.0,333.0,154.56877323420073,178.4312267657993,0.4641704901927949,32.69279379644959,-0.0739088418026621,1.1180850170226606,2.0,1.4308569431304932,404.0,70.43272781703661,404.0,0
797.0,994.0,596.5483061480553,397.4516938519448,0.6001492013561923,138.06537809448972,-1.1694176188703398,0.02086442787743741,1.0,2.3341140747070312,530.0,230.0517567673093,530.0,0
793.0,407.0,188.3102143757881,218.68978562421185,0.4626786593999709,39.68825747693439,-0.0011344877364147794,1.1433504213111851,1.0,1.5078468322753906,393.0,85.77931285701501,393.0,0
797.0,354.0,100.75282308657465,253.24717691342533,0.2846124945948437,16.857751258652794,3.831146083806352,1.1512425272729967,0.0,1.4585561752319336,230.0,59.23053828908822,230.0,0
804.0,643.0,191.63930348258702,451.360696517413,0.2980393522279736,32.93852179382838,3.6653334015241192,1.1853130751915677,0.0,1.220139980316162,243.0,110.51735801865965,243.0,0
71.0,308.0,145.49295774647888,162.50704225352112,0.4723797329431133,34.68262544279957,-0.32769439011798784,1.0894283481636953,3.0,1.1399140357971191,37.0,73.4210700080485,37.0,0
78.0,583.0,339.3076923076923,243.6923076923077,0.5820029027576198,69.46996491316537,-0.8346982661711952,0.17853454220816162,11.0,1.1460800170898438,52.0,119.36360554905472,52.0,0
118.0,183.0,110.20338983050848,72.79661016949153,0.6022043160137075,24.764966663511892,-1.1887811432227826,0.16306502130403985,1.0,0.7148499488830566,80.0,41.12386112979668,80.0,0
814.0,932.0,269.2285012285012,662.7714987714987,0.2888717824340142,43.59756220957454,2.6747316140854283,0.7951189462415439,0.0,0.7016770839691162,238.0,150.92357530467126,238.0,0
806.0,934.0,565.9330024813896,368.0669975186104,0.6059239855261129,125.78760329991728,-1.1463303622381202,-0.04550565742693756,1.0,0.7654788494110107,544.0,207.59634261828754,544.0,0
808.0,404.0,187.6571782178217,216.34282178217828,0.4644979658856975,39.80454259246597,-0.1143427917604738,1.1189503968839185,1.0,0.7715330123901367,400.0,85.69368547517162,400.0,0
15.0,985.0,303.46666666666664,681.5333333333333,0.30808798646362096,45.40881687987144,5.794093392846862,1.6385551520713613,244.0,0.6934049129486084,5.0,147.3891189367532,5.0,1
168.0,955.0,272.94642857142856,682.0535714285714,0.2858077786088257,47.57451895960043,3.2015801717586965,1.10182580640947,23.0,0.6575849056243896,50.0,166.4563476584515,50.0,0
784.0,540.0,325.7142857142857,214.28571428571428,0.6031746031746031,74.81840933297933,-1.1771654886286664,-0.03381493789039852,1.0,0.7339441776275635,525.0,124.0410470520447,525.0,0
135.0,489.0,211.8592592592593,277.14074074074074,0.4332500189350905,42.44497838730164,1.1136417871276962,1.5066097469244135,17.0,0.6857399940490723,63.0,97.96878599481548,63.0,0
802.0,465.0,136.00872817955113,328.9912718204489,0.2924918885581745,24.405142058016324,3.416918261545567,1.200017413921711,0.0,0.7477319240570068,238.0,83.43869697830037,238.0,0
101.0,857.0,417.1188118811882,439.881188118812,0.4867197338170223,93.36878726283204,-0.4647240899279938,1.0479204080253484,1.0,0.7135040760040283,54.0,191.8327546134243,54.0,1
806.0,506.0,150.40818858560797,355.5918114143921,0.29724938455653743,26.73805769922484,3.4467199427468618,1.1890767062280418,0.0,0.7387650012969971,242.0,89.95159986324279,242.0,1
115.0,904.0,254.40869565217392,649.591304347826,0.28142554828780303,36.67544676225243,5.18058085495176,0.9851491086514416,0.0,0.9213838577270508,33.0,130.32024627965149,33.0,1
794.0,893.0,415.6876574307305,477.3123425692695,0.4654956970108965,86.16842670240518,0.03554649988673342,1.1869394830459614,9.0,1.050159931182861,399.0,185.11111328358453,399.0,0
139.0,410.0,117.71942446043164,292.28057553956836,0.2871205474644675,19.455294878677066,3.9045478261676316,1.0892679937951537,0.0,0.8710982799530029,41.0,67.76002292585748,41.0,1
44.0,893.0,556.7727272727273,336.22727272727275,0.623485696833961,135.04113256334338,-1.2004388619166155,-0.3355772213283857,22.0,0.953176975250244,31.0,216.59058619801158,31.0,0
102.0,188.0,115.99019607843135,72.00980392156862,0.6169691280767626,25.59698610264493,-1.120196604782805,-0.07879204444231566,4.0,0.88356614112854,74.0,41.488277026820995,74.0,0
181.0,344.0,209.9668508287293,134.0331491712707,0.6103687524090968,51.172054152294976,-1.268497666540341,-0.02275352010835568,1.0,0.9651551246643066,123.0,83.83793231603237,123.0,0
155.0,99.0,44.593548387096774,54.406451612903226,0.4504398826979472,9.322829079057932,0.09030107753917972,0.9685744221770752,1.0,0.9611039161682128,74.0,20.69716611952315,74.0,0
75.0,547.0,159.3733333333333,387.62666666666667,0.29135892748324194,29.604859167844314,4.35665912589975,1.2635121103491962,0.0,0.8963971138000488,23.0,101.60958314739504,23.0,0
130.0,927.0,534.2615384615384,392.7384615384616,0.5763339141979918,125.37882240327976,-1.1244016988305154,0.20626334204694646,4.0,0.9392156600952148,84.0,217.545452930274,84.0,0
29.0,896.0,589.9310344827586,306.06896551724134,0.6584051724137929,129.31825753760327,-1.3557158017844675,-0.17569750923049682,21.0,0.9467577934265136,22.0,196.4113633304351,22.0,1
807.0,10.0,5.288723667905824,4.711276332094176,0.5288723667905824,1.5647834760284474,-1.371439612233195,0.264217623214492,0.0,1.0652952194213867,443.0,2.9587166475045854,443.0,0
814.0,353.0,163.29115479115478,189.7088452088452,0.4625811750457642,34.700297642774984,-0.013109063262286558,1.1623337180607405,2.0,1.0329909324645996,402.0,75.01450451229884,402.0,0
186.0,402.0,107.61827956989248,294.3817204301075,0.2677071631091853,17.07239502899502,7.297567619375943,1.578998817606039,0.0,0.9136579036712646,51.0,63.77264930349282,51.0,0
